"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",4.9,3,1.4,0.2,"setosa"
"2",4.7,3.2,1.3,0.2,"setosa"
"3",4.6,3.1,1.5,0.2,"setosa"
"4",5,3.6,1.4,0.2,"setosa"
"5",5.4,3.9,1.7,0.4,"setosa"
"6",4.6,3.4,1.4,0.3,"setosa"
"7",5,3.4,1.5,0.2,"setosa"
"8",4.4,2.9,1.4,0.2,"setosa"
"9",5.4,3.7,1.5,0.2,"setosa"
"10",4.8,3.4,1.6,0.2,"setosa"
"11",5.8,4,1.2,0.2,"setosa"
"12",5.7,4.4,1.5,0.4,"setosa"
"13",5.4,3.9,1.3,0.4,"setosa"
"14",5.1,3.5,1.4,0.3,"setosa"
"15",5.7,3.8,1.7,0.3,"setosa"
"16",5.1,3.8,1.5,0.3,"setosa"
"17",5.4,3.4,1.7,0.2,"setosa"
"18",5.1,3.7,1.5,0.4,"setosa"
"19",4.6,3.6,1,0.2,"setosa"
"20",5.1,3.3,1.7,0.5,"setosa"
"21",4.8,3.4,1.9,0.2,"setosa"
"22",5,3,1.6,0.2,"setosa"
"23",5,3.4,1.6,0.4,"setosa"
"24",5.2,3.4,1.4,0.2,"setosa"
"25",4.7,3.2,1.6,0.2,"setosa"
"26",4.8,3.1,1.6,0.2,"setosa"
"27",5.4,3.4,1.5,0.4,"setosa"
"28",5.5,4.2,1.4,0.2,"setosa"
"29",5,3.2,1.2,0.2,"setosa"
"30",5.5,3.5,1.3,0.2,"setosa"
"31",4.9,3.1,1.5,0.1,"setosa"
"32",4.4,3,1.3,0.2,"setosa"
"33",5.1,3.4,1.5,0.2,"setosa"
"34",5,3.5,1.3,0.3,"setosa"
"35",4.5,2.3,1.3,0.3,"setosa"
"36",4.4,3.2,1.3,0.2,"setosa"
"37",5,3.5,1.6,0.6,"setosa"
"38",5.1,3.8,1.9,0.4,"setosa"
"39",4.8,3,1.4,0.3,"setosa"
"40",5.1,3.8,1.6,0.2,"setosa"
"41",6.4,3.2,4.5,1.5,"versicolor"
"42",6.9,3.1,4.9,1.5,"versicolor"
"43",5.5,2.3,4,1.3,"versicolor"
"44",5.7,2.8,4.5,1.3,"versicolor"
"45",6.3,3.3,4.7,1.6,"versicolor"
"46",4.9,2.4,3.3,1,"versicolor"
"47",6.6,2.9,4.6,1.3,"versicolor"
"48",5.2,2.7,3.9,1.4,"versicolor"
